locus_tag	ftype	length_bp	gene	EC_number	COG	product
NAIMLHBL_00001	CDS	177	bm3R1			HTH-type transcriptional repressor Bm3R1
NAIMLHBL_00002	CDS	276	pal_1			Peptidoglycan-associated lipoprotein
NAIMLHBL_00003	rRNA	1477				16S ribosomal RNA
NAIMLHBL_00004	tRNA	77				tRNA-Ile(gat)
NAIMLHBL_00005	tRNA	76				tRNA-Ala(tgc)
NAIMLHBL_00006	rRNA	2868				23S ribosomal RNA
NAIMLHBL_00007	rRNA	109				5S ribosomal RNA
NAIMLHBL_00008	tRNA	77				tRNA-Met(cat)
NAIMLHBL_00009	CDS	1026				hypothetical protein
NAIMLHBL_00010	CDS	1284				hypothetical protein
NAIMLHBL_00011	CDS	987				hypothetical protein
NAIMLHBL_00012	CDS	291				hypothetical protein
NAIMLHBL_00013	CDS	768				hypothetical protein
NAIMLHBL_00014	CDS	1374				ISNCY family transposase ISRel26
NAIMLHBL_00015	CDS	1149			COG3385	IS4 family transposase ISRel1
NAIMLHBL_00016	CDS	138				hypothetical protein
NAIMLHBL_00017	CDS	642				hypothetical protein
NAIMLHBL_00018	CDS	1383				IS1380 family transposase ISRsp7
NAIMLHBL_00019	CDS	318				hypothetical protein
NAIMLHBL_00020	CDS	264				hypothetical protein
NAIMLHBL_00021	CDS	105				hypothetical protein
NAIMLHBL_00022	CDS	315				hypothetical protein
NAIMLHBL_00023	CDS	198				hypothetical protein
NAIMLHBL_00024	CDS	414				hypothetical protein
NAIMLHBL_00025	CDS	372				hypothetical protein
NAIMLHBL_00026	CDS	375				hypothetical protein
NAIMLHBL_00027	CDS	252				hypothetical protein
NAIMLHBL_00028	CDS	321				hypothetical protein
NAIMLHBL_00029	CDS	219				hypothetical protein
NAIMLHBL_00030	CDS	201				hypothetical protein
NAIMLHBL_00031	CDS	240				hypothetical protein
NAIMLHBL_00032	CDS	234				hypothetical protein
NAIMLHBL_00033	rRNA	109				5S ribosomal RNA
NAIMLHBL_00034	tRNA	77				tRNA-Met(cat)
NAIMLHBL_00035	CDS	1002	nuoH_1	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
NAIMLHBL_00036	CDS	567	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
NAIMLHBL_00037	CDS	441				hypothetical protein
NAIMLHBL_00038	CDS	2580	sfrA	1.-.-.-	COG3383	NADPH-Fe(3+) oxidoreductase subunit alpha
NAIMLHBL_00039	CDS	1266	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
NAIMLHBL_00040	CDS	510	nqo2	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit 2
NAIMLHBL_00041	CDS	1215	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
NAIMLHBL_00042	CDS	537	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
NAIMLHBL_00043	CDS	504	nqo6	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
NAIMLHBL_00044	CDS	357	ndhC_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
NAIMLHBL_00045	CDS	1440	ndhB_1	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
NAIMLHBL_00046	CDS	1476	nuoM_1	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
NAIMLHBL_00047	CDS	1761	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
NAIMLHBL_00048	CDS	255				hypothetical protein
NAIMLHBL_00049	CDS	1464	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
NAIMLHBL_00050	CDS	306	nuoK_1	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
NAIMLHBL_00051	CDS	495	nuoJ_1	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
NAIMLHBL_00052	CDS	3381				hypothetical protein
NAIMLHBL_00053	CDS	1653	cpoB_1			Cell division coordinator CpoB
NAIMLHBL_00054	CDS	492				hypothetical protein
NAIMLHBL_00055	CDS	1350	prsE_1			Type I secretion system membrane fusion protein PrsE
NAIMLHBL_00056	CDS	2298	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
NAIMLHBL_00057	CDS	2034				hypothetical protein
NAIMLHBL_00058	CDS	957				hypothetical protein
NAIMLHBL_00059	CDS	783	malT			HTH-type transcriptional regulator MalT
NAIMLHBL_00060	CDS	321				hypothetical protein
NAIMLHBL_00061	CDS	1023		5.1.3.2	COG1088	UDP-glucose 4-epimerase
NAIMLHBL_00062	CDS	984	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
NAIMLHBL_00063	CDS	1869				hypothetical protein
NAIMLHBL_00064	CDS	522				hypothetical protein
NAIMLHBL_00065	CDS	969				hypothetical protein
NAIMLHBL_00066	CDS	1287	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
NAIMLHBL_00067	CDS	1035	cytR_1		COG1609	HTH-type transcriptional repressor CytR
NAIMLHBL_00068	CDS	1857				hypothetical protein
NAIMLHBL_00069	CDS	1011		1.17.1.9		Formate dehydrogenase, mitochondrial
NAIMLHBL_00070	CDS	1278	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
NAIMLHBL_00071	CDS	831				hypothetical protein
NAIMLHBL_00072	CDS	1164				hypothetical protein
NAIMLHBL_00073	CDS	1149	xdh_1	1.1.1.179		D-xylose dehydrogenase
NAIMLHBL_00074	CDS	678	nicS			HTH-type transcriptional repressor NicS
NAIMLHBL_00075	CDS	1287	yesO_2		COG1653	Putative ABC transporter substrate-binding protein YesO
NAIMLHBL_00076	CDS	960	lacF_1			Lactose transport system permease protein LacF
NAIMLHBL_00077	CDS	888	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
NAIMLHBL_00078	CDS	1098	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
NAIMLHBL_00079	CDS	1077	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
NAIMLHBL_00080	CDS	876	thiK	2.7.1.89		Thiamine kinase
NAIMLHBL_00081	CDS	2451	abo_1	1.5.3.19		4-methylaminobutanoate oxidase (formaldehyde-forming)
NAIMLHBL_00082	CDS	948				IS110 family transposase ISWpi12
NAIMLHBL_00083	CDS	1458	por	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
NAIMLHBL_00084	CDS	1416	uxaC	5.3.1.12	COG1904	Uronate isomerase
NAIMLHBL_00085	CDS	210	slyX			Protein SlyX
NAIMLHBL_00086	CDS	1482	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
NAIMLHBL_00087	CDS	1281	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
NAIMLHBL_00088	CDS	810				hypothetical protein
NAIMLHBL_00089	CDS	714	rnd_1	3.1.13.5		Ribonuclease D
NAIMLHBL_00090	CDS	1560				hypothetical protein
NAIMLHBL_00091	CDS	1704	rpsA		COG0539	30S ribosomal protein S1
NAIMLHBL_00092	CDS	648	cmk	2.7.4.25	COG0283	Cytidylate kinase
NAIMLHBL_00093	CDS	1359	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
NAIMLHBL_00094	CDS	384				hypothetical protein
NAIMLHBL_00095	tRNA	76				tRNA-Ala(ggc)
NAIMLHBL_00096	CDS	294				hypothetical protein
NAIMLHBL_00097	CDS	1017				hypothetical protein
NAIMLHBL_00098	CDS	1101				hypothetical protein
NAIMLHBL_00099	CDS	1566			COG0645	putative protein
NAIMLHBL_00100	CDS	573	cysQ_1	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
NAIMLHBL_00101	CDS	150				hypothetical protein
NAIMLHBL_00102	CDS	984	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
NAIMLHBL_00103	CDS	432				hypothetical protein
NAIMLHBL_00104	CDS	357				hypothetical protein
NAIMLHBL_00105	CDS	237				hypothetical protein
NAIMLHBL_00106	CDS	723				hypothetical protein
NAIMLHBL_00107	CDS	789				hypothetical protein
NAIMLHBL_00108	CDS	474				hypothetical protein
NAIMLHBL_00109	CDS	636				hypothetical protein
NAIMLHBL_00110	CDS	420	perR		COG0735	Peroxide-responsive repressor PerR
NAIMLHBL_00111	CDS	516	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
NAIMLHBL_00112	CDS	1233	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
NAIMLHBL_00113	CDS	807	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
NAIMLHBL_00114	CDS	1017	rsmC	2.1.1.172		Ribosomal RNA small subunit methyltransferase C
NAIMLHBL_00115	CDS	2139	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NAIMLHBL_00116	CDS	270	rpsO		COG0184	30S ribosomal protein S15
NAIMLHBL_00117	CDS	852	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
NAIMLHBL_00118	CDS	933	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
NAIMLHBL_00119	CDS	405	rbfA			Ribosome-binding factor A
NAIMLHBL_00120	CDS	2754	infB			Translation initiation factor IF-2
NAIMLHBL_00121	CDS	693				hypothetical protein
NAIMLHBL_00122	CDS	1602	nusA		COG0195	Transcription termination/antitermination protein NusA
NAIMLHBL_00123	CDS	606	rimP			Ribosome maturation factor RimP
NAIMLHBL_00124	CDS	1632	entS_1			Enterobactin exporter EntS
NAIMLHBL_00125	CDS	456				hypothetical protein
NAIMLHBL_00126	CDS	1248				Tn3 family transposase TnXax1
NAIMLHBL_00127	CDS	606	recR		COG0353	Recombination protein RecR
NAIMLHBL_00128	CDS	618				hypothetical protein
NAIMLHBL_00129	CDS	324			COG0718	Nucleoid-associated protein
NAIMLHBL_00130	CDS	1821				hypothetical protein
NAIMLHBL_00131	CDS	408				hypothetical protein
NAIMLHBL_00132	CDS	960	nudC	3.6.1.22		NADH pyrophosphatase
NAIMLHBL_00133	CDS	696				hypothetical protein
NAIMLHBL_00134	CDS	261				hypothetical protein
NAIMLHBL_00135	CDS	369	ehpR			Phenazine antibiotic resistance protein EhpR
NAIMLHBL_00136	CDS	855	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
NAIMLHBL_00137	CDS	756	kdsB_1	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
NAIMLHBL_00138	CDS	564	cycM		COG3474	Cytochrome c-552
NAIMLHBL_00139	CDS	948				hypothetical protein
NAIMLHBL_00140	CDS	993	ydjH_1	2.7.1.-	COG0524	putative sugar kinase YdjH
NAIMLHBL_00141	CDS	540				hypothetical protein
NAIMLHBL_00142	CDS	1002		1.1.1.29		Glycerate dehydrogenase
NAIMLHBL_00143	CDS	474				hypothetical protein
NAIMLHBL_00144	CDS	831	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
NAIMLHBL_00145	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
NAIMLHBL_00146	CDS	366				hypothetical protein
NAIMLHBL_00147	CDS	201				hypothetical protein
NAIMLHBL_00148	CDS	1128	dnaJ_1		COG0484	Chaperone protein DnaJ
NAIMLHBL_00149	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
NAIMLHBL_00150	CDS	2136	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
NAIMLHBL_00151	CDS	222				hypothetical protein
NAIMLHBL_00152	CDS	696				hypothetical protein
NAIMLHBL_00153	CDS	1389	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
NAIMLHBL_00154	CDS	2388			COG2199	putative signaling protein
NAIMLHBL_00155	CDS	417				hypothetical protein
NAIMLHBL_00156	CDS	3000	polA	2.7.7.7	COG0258	DNA polymerase I
NAIMLHBL_00157	CDS	2328				hypothetical protein
NAIMLHBL_00158	CDS	504				hypothetical protein
NAIMLHBL_00159	CDS	597	phnN	2.7.4.23	COG3709	Ribose 1,5-bisphosphate phosphokinase PhnN
NAIMLHBL_00160	CDS	1140	phnM_1	3.6.1.63	COG3454	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
NAIMLHBL_00161	CDS	696				hypothetical protein
