locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNGKOFBP_00001	CDS	780				hypothetical protein
CNGKOFBP_00002	CDS	777				hypothetical protein
CNGKOFBP_00003	CDS	1005				hypothetical protein
CNGKOFBP_00004	CDS	2175				hypothetical protein
CNGKOFBP_00005	CDS	1491				hypothetical protein
CNGKOFBP_00006	CDS	1341				hypothetical protein
CNGKOFBP_00007	CDS	1626				hypothetical protein
CNGKOFBP_00008	CDS	2142				hypothetical protein
CNGKOFBP_00009	CDS	624				IS66 family transposase ISPre3
CNGKOFBP_00010	CDS	327				hypothetical protein
CNGKOFBP_00011	CDS	774				hypothetical protein
CNGKOFBP_00012	CDS	954	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
CNGKOFBP_00013	CDS	243				hypothetical protein
CNGKOFBP_00014	CDS	753				hypothetical protein
CNGKOFBP_00015	CDS	1419	imuB_1			Protein ImuB
CNGKOFBP_00016	CDS	3258	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
CNGKOFBP_00017	CDS	384				hypothetical protein
CNGKOFBP_00018	CDS	1197	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
CNGKOFBP_00019	CDS	1593	gsiB_1		COG0747	Glutathione-binding protein GsiB
CNGKOFBP_00020	CDS	1590	appA_1			Oligopeptide-binding protein AppA
CNGKOFBP_00021	CDS	1353	ntaA_1	1.14.14.10		Nitrilotriacetate monooxygenase component A
CNGKOFBP_00022	CDS	672				hypothetical protein
CNGKOFBP_00023	CDS	1245	kmo	1.14.13.9		Kynurenine 3-monooxygenase
CNGKOFBP_00024	CDS	864				hypothetical protein
CNGKOFBP_00025	CDS	1035	soxB_1	3.13.1.3		2'-hydroxybiphenyl-2-sulfinate desulfinase
CNGKOFBP_00026	CDS	1233	ydbM_1	1.3.99.-		Putative acyl-CoA dehydrogenase YdbM
CNGKOFBP_00027	CDS	1041	soxB_2	3.13.1.3		2'-hydroxybiphenyl-2-sulfinate desulfinase
CNGKOFBP_00028	CDS	987	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
CNGKOFBP_00029	CDS	1005	dppC_1		COG1173	Dipeptide transport system permease protein DppC
CNGKOFBP_00030	CDS	999	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
CNGKOFBP_00031	CDS	945	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
CNGKOFBP_00032	CDS	1062	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
CNGKOFBP_00033	CDS	1617	dppA_1		COG0747	Periplasmic dipeptide transport protein
CNGKOFBP_00034	CDS	1224	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
CNGKOFBP_00035	CDS	1020	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
CNGKOFBP_00036	CDS	312				hypothetical protein
CNGKOFBP_00037	CDS	585				hypothetical protein
CNGKOFBP_00038	CDS	585				hypothetical protein
CNGKOFBP_00039	CDS	669	plsY_1	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
CNGKOFBP_00040	CDS	603	gpmB_1	5.4.2.-		phosphoglycerate mutase GpmB
CNGKOFBP_00041	CDS	678	mprA		COG0745	Response regulator MprA
CNGKOFBP_00042	CDS	1599	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CNGKOFBP_00043	CDS	1464				hypothetical protein
CNGKOFBP_00044	CDS	1176	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
CNGKOFBP_00045	CDS	312				hypothetical protein
CNGKOFBP_00046	CDS	126				hypothetical protein
CNGKOFBP_00047	CDS	150				hypothetical protein
CNGKOFBP_00048	CDS	399				hypothetical protein
CNGKOFBP_00049	CDS	402				hypothetical protein
CNGKOFBP_00050	CDS	741	bdcA_1		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
CNGKOFBP_00051	CDS	858	dhmA_1	3.8.1.5	COG0596	Haloalkane dehalogenase
CNGKOFBP_00052	CDS	567				hypothetical protein
CNGKOFBP_00053	CDS	510				hypothetical protein
CNGKOFBP_00054	CDS	1479	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
CNGKOFBP_00055	CDS	258				hypothetical protein
