locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNGMADPI_00001	CDS	384				hypothetical protein
CNGMADPI_00002	CDS	291				hypothetical protein
CNGMADPI_00003	CDS	171				hypothetical protein
CNGMADPI_00004	CDS	219				hypothetical protein
CNGMADPI_00005	CDS	291				hypothetical protein
CNGMADPI_00006	CDS	390				hypothetical protein
CNGMADPI_00007	CDS	153				hypothetical protein
CNGMADPI_00008	CDS	264				hypothetical protein
CNGMADPI_00009	CDS	207				hypothetical protein
CNGMADPI_00010	CDS	393	citZ	2.3.3.16	COG0372	Citrate synthase 2
CNGMADPI_00011	CDS	363				hypothetical protein
CNGMADPI_00012	CDS	333	kbl_1	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
CNGMADPI_00013	CDS	201				hypothetical protein
CNGMADPI_00014	CDS	330	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
CNGMADPI_00015	CDS	540				putative transporter
CNGMADPI_00016	CDS	534	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
CNGMADPI_00017	CDS	681	dmlR_1			HTH-type transcriptional regulator DmlR
CNGMADPI_00018	CDS	252				hypothetical protein
CNGMADPI_00019	CDS	1434	pntB_1	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
CNGMADPI_00020	CDS	1575	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
CNGMADPI_00021	CDS	771	gno_1	1.1.1.-		Gluconate 5-dehydrogenase
CNGMADPI_00022	CDS	1311	hpsN	1.1.1.308		Sulfopropanediol 3-dehydrogenase
CNGMADPI_00023	CDS	981	degA_1		COG1609	HTH-type transcriptional regulator DegA
CNGMADPI_00024	CDS	1212				hypothetical protein
CNGMADPI_00025	CDS	1407	atzA	3.8.1.8		Atrazine chlorohydrolase
CNGMADPI_00026	CDS	870	gltC_1			HTH-type transcriptional regulator GltC
CNGMADPI_00027	CDS	486	cutS	1.2.5.3		Carbon monoxide dehydrogenase small chain
CNGMADPI_00028	CDS	849	cutM	1.2.5.3		Carbon monoxide dehydrogenase medium chain
CNGMADPI_00029	CDS	2382	cdhA	1.17.5.2		Caffeine dehydrogenase subunit alpha
CNGMADPI_00030	CDS	786	camK	3.7.1.18		6-oxocamphor hydrolase
