locus_tag	ftype	length_bp	gene	EC_number	COG	product
AAIMJHFH_00001	CDS	2100	fusA		COG0480	Elongation factor G
AAIMJHFH_00002	CDS	471	rpsG		COG0049	30S ribosomal protein S7
AAIMJHFH_00003	CDS	372	rpsL		COG0048	30S ribosomal protein S12
AAIMJHFH_00004	CDS	294				hypothetical protein
AAIMJHFH_00005	CDS	630				hypothetical protein
AAIMJHFH_00006	CDS	900	dmlR_1			HTH-type transcriptional regulator DmlR
AAIMJHFH_00007	CDS	516				hypothetical protein
AAIMJHFH_00008	CDS	1491	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
AAIMJHFH_00009	CDS	1080				hypothetical protein
AAIMJHFH_00010	CDS	1119	xylB_1	1.1.1.90		Aryl-alcohol dehydrogenase
AAIMJHFH_00011	CDS	855				hypothetical protein
AAIMJHFH_00012	CDS	1680				hypothetical protein
AAIMJHFH_00013	CDS	1101	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
AAIMJHFH_00014	CDS	1017	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
AAIMJHFH_00015	CDS	969	syrM1			HTH-type transcriptional regulator SyrM 1
AAIMJHFH_00016	CDS	495	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
AAIMJHFH_00017	CDS	918	dmlR_2			HTH-type transcriptional regulator DmlR
AAIMJHFH_00018	CDS	750				hypothetical protein
AAIMJHFH_00019	CDS	1905	dapb3	3.4.14.-		Dipeptidyl aminopeptidase BIII
AAIMJHFH_00020	CDS	306				hypothetical protein
AAIMJHFH_00021	CDS	675	qseB_1			Transcriptional regulatory protein QseB
AAIMJHFH_00022	CDS	1368	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AAIMJHFH_00023	CDS	1158	ampC_1	3.5.2.6		Beta-lactamase
AAIMJHFH_00024	CDS	330				hypothetical protein
AAIMJHFH_00025	CDS	999				Zinc-type alcohol dehydrogenase-like protein
AAIMJHFH_00026	CDS	927	dmlR_3			HTH-type transcriptional regulator DmlR
AAIMJHFH_00027	CDS	1188	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
AAIMJHFH_00028	CDS	765	bdcA_1		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
AAIMJHFH_00029	CDS	816	pgrR_1			HTH-type transcriptional regulator PgrR
AAIMJHFH_00030	CDS	597				hypothetical protein
AAIMJHFH_00031	CDS	954	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
AAIMJHFH_00032	CDS	738	bdcA_2		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
AAIMJHFH_00033	CDS	723	tgnD_1	3.5.1.-		(E)-2-((N-methylformamido)methylene)succinate hydrolase
AAIMJHFH_00034	CDS	1152	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
AAIMJHFH_00035	CDS	1950	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
AAIMJHFH_00036	CDS	1194	macA_1		COG0845	Macrolide export protein MacA
AAIMJHFH_00037	CDS	1365	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
AAIMJHFH_00038	CDS	126				hypothetical protein
AAIMJHFH_00039	CDS	1113				hypothetical protein
AAIMJHFH_00040	CDS	843				hypothetical protein
AAIMJHFH_00041	CDS	402				hypothetical protein
AAIMJHFH_00042	CDS	966				hypothetical protein
AAIMJHFH_00043	CDS	660				hypothetical protein
AAIMJHFH_00044	CDS	1434				hypothetical protein
AAIMJHFH_00045	CDS	138				hypothetical protein
AAIMJHFH_00046	CDS	702	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
AAIMJHFH_00047	CDS	1533	dauA		COG0659	C4-dicarboxylic acid transporter DauA
AAIMJHFH_00048	CDS	1302		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
AAIMJHFH_00049	CDS	2208	iorB_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
AAIMJHFH_00050	CDS	525				hypothetical protein
AAIMJHFH_00051	CDS	1185	ydhP_1		COG2814	Inner membrane transport protein YdhP
AAIMJHFH_00052	CDS	621	comR_1			HTH-type transcriptional repressor ComR
AAIMJHFH_00053	CDS	585				hypothetical protein
AAIMJHFH_00054	CDS	1656	mdlC	4.1.1.7		Benzoylformate decarboxylase
AAIMJHFH_00055	CDS	138				hypothetical protein
AAIMJHFH_00056	CDS	3507	pycA_1	6.4.1.1		Pyruvate carboxylase
AAIMJHFH_00057	CDS	618	can	4.2.1.1	COG0288	Carbonic anhydrase 2
AAIMJHFH_00058	CDS	222				hypothetical protein
AAIMJHFH_00059	CDS	1665		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
AAIMJHFH_00060	CDS	942	etfA_1		COG2025	Electron transfer flavoprotein subunit alpha
AAIMJHFH_00061	CDS	750	etfB_1			Electron transfer flavoprotein subunit beta
AAIMJHFH_00062	CDS	798		4.1.-.-	COG2301	Citrate lyase subunit beta-like protein
AAIMJHFH_00063	CDS	861	meh	4.2.1.153	COG3777	Mesaconyl-C(4)-CoA hydratase
AAIMJHFH_00064	CDS	1125	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
AAIMJHFH_00065	CDS	1164		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
AAIMJHFH_00066	CDS	1488	tgnC_1	1.2.1.-	COG1012	(Z)-2-((N-methylformamido)methylene)-5-hydroxybutyrolactone dehydrogenase
AAIMJHFH_00067	CDS	597				hypothetical protein
AAIMJHFH_00068	CDS	540				hypothetical protein
AAIMJHFH_00069	CDS	975	hdfR_1			HTH-type transcriptional regulator HdfR
AAIMJHFH_00070	CDS	918	hdfR_2			HTH-type transcriptional regulator HdfR
AAIMJHFH_00071	CDS	1425	dadD_1	3.5.4.31		5'-deoxyadenosine deaminase
AAIMJHFH_00072	CDS	435				hypothetical protein
AAIMJHFH_00073	CDS	1197		3.4.11.18		Methionine aminopeptidase 1, mitochondrial
AAIMJHFH_00074	CDS	951		4.1.1.112		Oxaloacetate decarboxylase
AAIMJHFH_00075	CDS	1374				hypothetical protein
AAIMJHFH_00076	CDS	747				hypothetical protein
AAIMJHFH_00077	CDS	786	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
AAIMJHFH_00078	CDS	717	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
AAIMJHFH_00079	CDS	753	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AAIMJHFH_00080	CDS	975				hypothetical protein
AAIMJHFH_00081	CDS	921	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
AAIMJHFH_00082	CDS	1164			COG0683	Leu/Ile/Val-binding protein 
AAIMJHFH_00083	CDS	1305	dmoA_1	1.14.13.131		Dimethyl-sulfide monooxygenase
AAIMJHFH_00084	CDS	537	rutF_1	1.5.1.42	COG1853	FMN reductase (NADH) RutF
AAIMJHFH_00085	CDS	966	dmlR_4			HTH-type transcriptional regulator DmlR
AAIMJHFH_00086	CDS	918	liuE	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
AAIMJHFH_00087	CDS	1398	norG_1		COG1167	HTH-type transcriptional regulator NorG
AAIMJHFH_00088	CDS	1293	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
AAIMJHFH_00089	CDS	459				hypothetical protein
AAIMJHFH_00090	CDS	1383				hypothetical protein
AAIMJHFH_00091	CDS	558		3.1.1.-		Lactonase drp35
AAIMJHFH_00092	CDS	429		3.1.1.-		Lactonase drp35
AAIMJHFH_00093	CDS	1581			COG0500	putative protein RP789
AAIMJHFH_00094	CDS	1404	dapE_1	3.5.1.18		Succinyl-diaminopimelate desuccinylase
AAIMJHFH_00095	CDS	1215	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase
AAIMJHFH_00096	CDS	876	occR			Octopine catabolism/uptake operon regulatory protein OccR
AAIMJHFH_00097	CDS	777	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
AAIMJHFH_00098	CDS	810				hypothetical protein
AAIMJHFH_00099	CDS	1011				hypothetical protein
AAIMJHFH_00100	CDS	978	rhaS_1			HTH-type transcriptional activator RhaS
AAIMJHFH_00101	CDS	1314	lgoT			putative L-galactonate transporter
AAIMJHFH_00102	CDS	852	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
AAIMJHFH_00103	CDS	1050	yajO_2	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
AAIMJHFH_00104	CDS	984				hypothetical protein
AAIMJHFH_00105	CDS	639				hypothetical protein
