locus_tag	ftype	length_bp	gene	EC_number	COG	product
ECHFBHLB_00001	CDS	249				hypothetical protein
ECHFBHLB_00002	CDS	711				hypothetical protein
ECHFBHLB_00003	CDS	315	acdS	3.5.99.7		1-aminocyclopropane-1-carboxylate deaminase
ECHFBHLB_00004	CDS	315				hypothetical protein
ECHFBHLB_00005	CDS	219				hypothetical protein
ECHFBHLB_00006	CDS	384				hypothetical protein
ECHFBHLB_00007	CDS	324				hypothetical protein
ECHFBHLB_00008	CDS	321				hypothetical protein
ECHFBHLB_00009	CDS	201				hypothetical protein
ECHFBHLB_00010	CDS	204	cspA_1		COG1278	Cold shock protein CspA
ECHFBHLB_00011	CDS	2295				hypothetical protein
ECHFBHLB_00012	CDS	783				hypothetical protein
ECHFBHLB_00013	CDS	822				hypothetical protein
ECHFBHLB_00014	CDS	648				hypothetical protein
ECHFBHLB_00015	CDS	1515				hypothetical protein
ECHFBHLB_00016	CDS	699				hypothetical protein
ECHFBHLB_00017	CDS	1707				hypothetical protein
ECHFBHLB_00018	CDS	237				hypothetical protein
ECHFBHLB_00019	CDS	408				hypothetical protein
ECHFBHLB_00020	CDS	1092	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
ECHFBHLB_00021	CDS	1455				hypothetical protein
ECHFBHLB_00022	CDS	1029				hypothetical protein
ECHFBHLB_00023	CDS	876	sugA_1		COG1175	Trehalose transport system permease protein SugA
ECHFBHLB_00024	CDS	198	RBKS	2.7.1.15		Ribokinase
ECHFBHLB_00025	CDS	456	fucU_1	5.1.3.29	COG4154	L-fucose mutarotase
ECHFBHLB_00026	CDS	324	tal_1	2.2.1.2		Transaldolase
ECHFBHLB_00027	CDS	1059	lsrD_1			Autoinducer 2 import system permease protein LsrD
ECHFBHLB_00028	CDS	990	rbsC_1		COG1172	Ribose import permease protein RbsC
ECHFBHLB_00029	CDS	1485	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
ECHFBHLB_00030	CDS	999	lsrB_1			Autoinducer 2-binding protein LsrB
ECHFBHLB_00031	CDS	846		5.1.3.31	COG1082	L-ribulose 3-epimerase
ECHFBHLB_00032	CDS	2466	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
ECHFBHLB_00033	CDS	237	dlaT	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
ECHFBHLB_00034	CDS	669			COG0596	putative protein
ECHFBHLB_00035	CDS	957	scrK_1	2.7.1.4	COG0524	Fructokinase
ECHFBHLB_00036	CDS	984	deoR_1		COG2390	Deoxyribonucleoside regulator
ECHFBHLB_00037	CDS	207				hypothetical protein
ECHFBHLB_00038	CDS	987	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
ECHFBHLB_00039	CDS	1020		3.5.5.1	COG0388	Nitrilase
ECHFBHLB_00040	CDS	384	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
ECHFBHLB_00041	CDS	921	hdfR_1			HTH-type transcriptional regulator HdfR
ECHFBHLB_00042	CDS	1095	csd_1	2.8.1.7		putative cysteine desulfurase
ECHFBHLB_00043	CDS	1062				hypothetical protein
ECHFBHLB_00044	CDS	1419	safD	1.2.1.73	COG1012	Sulfoacetaldehyde dehydrogenase
ECHFBHLB_00045	CDS	519	fumC_1	4.2.1.2		Fumarate hydratase class II
ECHFBHLB_00046	CDS	504	fumC_2	4.2.1.2	COG0114	Fumarate hydratase class II
ECHFBHLB_00047	CDS	807	thrB_1	2.7.1.39	COG2334	Homoserine kinase
ECHFBHLB_00048	CDS	492	lrp_1		COG1522	Leucine-responsive regulatory protein
ECHFBHLB_00049	CDS	942				hypothetical protein
ECHFBHLB_00050	CDS	804	artM		COG1126	Arginine transport ATP-binding protein ArtM
ECHFBHLB_00051	CDS	468				hypothetical protein
ECHFBHLB_00052	CDS	954	pcpR_1			PCP degradation transcriptional activation protein
ECHFBHLB_00053	CDS	840	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
ECHFBHLB_00054	CDS	1188	egtE	4.4.-.-		hercynylcysteine sulfoxide lyase
ECHFBHLB_00055	CDS	189				hypothetical protein
ECHFBHLB_00056	CDS	219				hypothetical protein
ECHFBHLB_00057	CDS	117				hypothetical protein
ECHFBHLB_00058	CDS	1827	thiC_1	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
ECHFBHLB_00059	CDS	975	dadA_1	1.4.99.-		D-amino acid dehydrogenase
ECHFBHLB_00060	CDS	198				hypothetical protein
ECHFBHLB_00061	CDS	774	thiG_1	2.8.1.10	COG2022	Thiazole synthase
ECHFBHLB_00062	CDS	621	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
ECHFBHLB_00063	CDS	3258	dnaE2_1	2.7.7.7		Error-prone DNA polymerase
ECHFBHLB_00064	CDS	1419	imuB_1			Protein ImuB
ECHFBHLB_00065	CDS	753				hypothetical protein
ECHFBHLB_00066	CDS	1065	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
ECHFBHLB_00067	CDS	774				hypothetical protein
ECHFBHLB_00068	CDS	315				hypothetical protein
ECHFBHLB_00069	CDS	2367				hypothetical protein
ECHFBHLB_00070	CDS	636				hypothetical protein
ECHFBHLB_00071	CDS	2367	smc_1			Chromosome partition protein Smc
ECHFBHLB_00072	CDS	720				hypothetical protein
ECHFBHLB_00073	CDS	777				hypothetical protein
ECHFBHLB_00074	CDS	1602				hypothetical protein
ECHFBHLB_00075	CDS	399				hypothetical protein
ECHFBHLB_00076	CDS	1671	npr	3.4.24.28	COG3227	Bacillolysin
ECHFBHLB_00077	CDS	444				hypothetical protein
ECHFBHLB_00078	CDS	330				hypothetical protein
ECHFBHLB_00079	CDS	1089				hypothetical protein
ECHFBHLB_00080	CDS	861				hypothetical protein
ECHFBHLB_00081	CDS	264				hypothetical protein
ECHFBHLB_00082	CDS	1437	hcf136			Ycf48-like protein
ECHFBHLB_00083	CDS	1431				hypothetical protein
ECHFBHLB_00084	CDS	1575				hypothetical protein
ECHFBHLB_00085	CDS	909				hypothetical protein
ECHFBHLB_00086	CDS	186				hypothetical protein
ECHFBHLB_00087	CDS	126				hypothetical protein
