locus_tag	ftype	length_bp	gene	EC_number	COG	product
OKDNIOEI_00001	CDS	399	fumC_1	4.2.1.2		Fumarate hydratase class II
OKDNIOEI_00002	CDS	240	fmt_1	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
OKDNIOEI_00003	CDS	306				hypothetical protein
OKDNIOEI_00004	CDS	261				hypothetical protein
OKDNIOEI_00005	CDS	246				hypothetical protein
OKDNIOEI_00006	CDS	429				hypothetical protein
OKDNIOEI_00007	CDS	348				hypothetical protein
OKDNIOEI_00008	CDS	351				hypothetical protein
OKDNIOEI_00009	CDS	336				hypothetical protein
OKDNIOEI_00010	CDS	246	nrdH_1		COG0695	Glutaredoxin-like protein NrdH
OKDNIOEI_00011	CDS	786				hypothetical protein
OKDNIOEI_00012	CDS	315				hypothetical protein
OKDNIOEI_00013	CDS	579				hypothetical protein
OKDNIOEI_00014	CDS	141				hypothetical protein
OKDNIOEI_00015	CDS	192				hypothetical protein
OKDNIOEI_00016	CDS	324				hypothetical protein
OKDNIOEI_00017	CDS	351				hypothetical protein
OKDNIOEI_00018	CDS	876				hypothetical protein
OKDNIOEI_00019	CDS	363				hypothetical protein
OKDNIOEI_00020	CDS	321				hypothetical protein
OKDNIOEI_00021	CDS	480				hypothetical protein
OKDNIOEI_00022	CDS	264				hypothetical protein
OKDNIOEI_00023	CDS	429				hypothetical protein
OKDNIOEI_00024	CDS	438				hypothetical protein
OKDNIOEI_00025	CDS	201				hypothetical protein
OKDNIOEI_00026	CDS	237				hypothetical protein
OKDNIOEI_00027	CDS	402				hypothetical protein
OKDNIOEI_00028	CDS	330				hypothetical protein
OKDNIOEI_00029	CDS	456				hypothetical protein
OKDNIOEI_00030	CDS	192				hypothetical protein
OKDNIOEI_00031	CDS	813				hypothetical protein
OKDNIOEI_00032	CDS	651				hypothetical protein
OKDNIOEI_00033	CDS	282				hypothetical protein
OKDNIOEI_00034	CDS	1293				hypothetical protein
OKDNIOEI_00035	CDS	552				Tn3 family transposase ISYps3
OKDNIOEI_00036	CDS	594				hypothetical protein
OKDNIOEI_00037	CDS	540				hypothetical protein
OKDNIOEI_00038	CDS	855				hypothetical protein
OKDNIOEI_00039	CDS	603	hin		COG1961	DNA-invertase hin
OKDNIOEI_00040	CDS	1185				hypothetical protein
OKDNIOEI_00041	CDS	99				hypothetical protein
OKDNIOEI_00042	CDS	987	noc_1			Nucleoid occlusion protein
OKDNIOEI_00043	CDS	1194				hypothetical protein
OKDNIOEI_00044	CDS	1065				hypothetical protein
OKDNIOEI_00045	CDS	390				hypothetical protein
OKDNIOEI_00046	CDS	405				hypothetical protein
OKDNIOEI_00047	CDS	795				hypothetical protein
OKDNIOEI_00048	CDS	852				hypothetical protein
OKDNIOEI_00049	CDS	483				hypothetical protein
OKDNIOEI_00050	CDS	318				hypothetical protein
OKDNIOEI_00051	CDS	4482	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
OKDNIOEI_00052	CDS	264				hypothetical protein
OKDNIOEI_00053	CDS	849				hypothetical protein
OKDNIOEI_00054	CDS	483				hypothetical protein
OKDNIOEI_00055	CDS	402				hypothetical protein
OKDNIOEI_00056	CDS	264				hypothetical protein
OKDNIOEI_00057	CDS	810				hypothetical protein
OKDNIOEI_00058	CDS	189				hypothetical protein
OKDNIOEI_00059	CDS	1143				hypothetical protein
OKDNIOEI_00060	CDS	2385				hypothetical protein
OKDNIOEI_00061	CDS	312				hypothetical protein
OKDNIOEI_00062	CDS	2046				hypothetical protein
OKDNIOEI_00063	CDS	198				hypothetical protein
OKDNIOEI_00064	CDS	801				hypothetical protein
OKDNIOEI_00065	CDS	249				hypothetical protein
OKDNIOEI_00066	CDS	276				hypothetical protein
OKDNIOEI_00067	CDS	201				hypothetical protein
OKDNIOEI_00068	CDS	489				hypothetical protein
OKDNIOEI_00069	CDS	483				hypothetical protein
OKDNIOEI_00070	CDS	492				hypothetical protein
