locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODPPFEAP_00001	CDS	297				hypothetical protein
ODPPFEAP_00002	CDS	1308				hypothetical protein
ODPPFEAP_00003	CDS	240				hypothetical protein
ODPPFEAP_00004	CDS	192				hypothetical protein
ODPPFEAP_00005	CDS	1686				hypothetical protein
ODPPFEAP_00006	CDS	318				hypothetical protein
ODPPFEAP_00007	CDS	699				hypothetical protein
ODPPFEAP_00008	CDS	1686				hypothetical protein
ODPPFEAP_00009	CDS	315				hypothetical protein
ODPPFEAP_00010	CDS	249	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
ODPPFEAP_00011	CDS	219				hypothetical protein
ODPPFEAP_00012	CDS	246				hypothetical protein
ODPPFEAP_00013	CDS	363				hypothetical protein
ODPPFEAP_00014	CDS	312				hypothetical protein
ODPPFEAP_00015	CDS	609				hypothetical protein
ODPPFEAP_00016	CDS	1878	copA_1	7.2.2.8		putative copper-importing P-type ATPase A
ODPPFEAP_00017	CDS	159				hypothetical protein
ODPPFEAP_00018	CDS	672	aadR		COG0664	Transcriptional activatory protein AadR
ODPPFEAP_00019	CDS	462	ccmE_1		COG2332	Cytochrome c-type biogenesis protein CcmE
ODPPFEAP_00020	CDS	198				hypothetical protein
ODPPFEAP_00021	CDS	681	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
ODPPFEAP_00022	CDS	366				hypothetical protein
ODPPFEAP_00023	tRNA	77				tRNA-Met(cat)
ODPPFEAP_00024	CDS	1491				hypothetical protein
ODPPFEAP_00025	CDS	2760				hypothetical protein
ODPPFEAP_00026	CDS	210				hypothetical protein
ODPPFEAP_00027	CDS	1257	pal_1			Peptidoglycan-associated lipoprotein
ODPPFEAP_00028	CDS	1320				hypothetical protein
ODPPFEAP_00029	CDS	3891	ndvB_1	2.4.1.-	COG3459	Cyclic beta-(1,2)-glucan synthase NdvB
ODPPFEAP_00030	CDS	2466	xpkA_1	4.1.2.9		Xylulose-5-phosphate phosphoketolase
ODPPFEAP_00031	CDS	669	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
ODPPFEAP_00032	CDS	1689	bacA		COG4178	Vitamin B12 transport ATP-binding protein BacA
ODPPFEAP_00033	CDS	1653	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
ODPPFEAP_00034	CDS	492				hypothetical protein
ODPPFEAP_00035	CDS	1350	prsE_1			Type I secretion system membrane fusion protein PrsE
ODPPFEAP_00036	CDS	2238	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
ODPPFEAP_00037	CDS	2037				hypothetical protein
ODPPFEAP_00038	CDS	957				hypothetical protein
ODPPFEAP_00039	CDS	783	malT_1			HTH-type transcriptional regulator MalT
ODPPFEAP_00040	CDS	321				hypothetical protein
ODPPFEAP_00041	CDS	1026		5.1.3.2	COG1088	UDP-glucose 4-epimerase
ODPPFEAP_00042	CDS	984	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
ODPPFEAP_00043	CDS	1869				hypothetical protein
ODPPFEAP_00044	CDS	522				hypothetical protein
ODPPFEAP_00045	CDS	969				hypothetical protein
ODPPFEAP_00046	CDS	1287	yesO_1		COG1653	Putative ABC transporter substrate-binding protein YesO
ODPPFEAP_00047	CDS	1020	cytR_1		COG1609	HTH-type transcriptional repressor CytR
ODPPFEAP_00048	CDS	1857				hypothetical protein
ODPPFEAP_00049	CDS	1011		1.17.1.9		Formate dehydrogenase, mitochondrial
ODPPFEAP_00050	CDS	1278	yteT_1	1.-.-.-	COG0673	Putative oxidoreductase YteT
ODPPFEAP_00051	CDS	825				hypothetical protein
ODPPFEAP_00052	CDS	1164				hypothetical protein
ODPPFEAP_00053	CDS	1149	xdh	1.1.1.179		D-xylose dehydrogenase
ODPPFEAP_00054	CDS	678	nicS			HTH-type transcriptional repressor NicS
ODPPFEAP_00055	CDS	1287	yesO_2		COG1653	Putative ABC transporter substrate-binding protein YesO
ODPPFEAP_00056	CDS	960	lacF_1			Lactose transport system permease protein LacF
ODPPFEAP_00057	CDS	888	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
