locus_tag	ftype	length_bp	gene	EC_number	COG	product
INEKDHDG_00001	CDS	1410				hypothetical protein
INEKDHDG_00002	CDS	1191	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
INEKDHDG_00003	CDS	1614	hutH_1	4.3.1.3	COG2986	Histidine ammonia-lyase
INEKDHDG_00004	CDS	597				hypothetical protein
INEKDHDG_00005	CDS	1068	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
INEKDHDG_00006	CDS	1026	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
INEKDHDG_00007	CDS	924	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
INEKDHDG_00008	CDS	966	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
INEKDHDG_00009	CDS	933	prpB	4.1.3.30		2-methylisocitrate lyase
INEKDHDG_00010	CDS	1611	gsiB_1		COG0747	Glutathione-binding protein GsiB
INEKDHDG_00011	CDS	576	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
INEKDHDG_00012	CDS	1443	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
INEKDHDG_00013	CDS	1851	hdfR_1			HTH-type transcriptional regulator HdfR
INEKDHDG_00014	CDS	972		1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
INEKDHDG_00015	CDS	648	yecS_1		COG0765	L-cystine transport system permease protein YecS
INEKDHDG_00016	CDS	669	yecS_2		COG0765	L-cystine transport system permease protein YecS
INEKDHDG_00017	CDS	798	fliY_1		COG0834	L-cystine-binding protein FliY
INEKDHDG_00018	CDS	1098	speB_1	3.5.3.11		Agmatinase
INEKDHDG_00019	CDS	1077				hypothetical protein
INEKDHDG_00020	CDS	885				hypothetical protein
INEKDHDG_00021	CDS	840	ydcV_1			Inner membrane ABC transporter permease protein YdcV
INEKDHDG_00022	CDS	1065	cysA_1	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
INEKDHDG_00023	CDS	858	hdfR_2			HTH-type transcriptional regulator HdfR
INEKDHDG_00024	CDS	354				hypothetical protein
INEKDHDG_00025	CDS	492				hypothetical protein
INEKDHDG_00026	CDS	396	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
INEKDHDG_00027	CDS	381				hypothetical protein
INEKDHDG_00028	CDS	1842	sdhA	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
INEKDHDG_00029	CDS	780	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
INEKDHDG_00030	CDS	252				hypothetical protein
INEKDHDG_00031	CDS	516				hypothetical protein
INEKDHDG_00032	CDS	1164	zapE		COG1485	Cell division protein ZapE
INEKDHDG_00033	CDS	963	mdh_1	1.1.1.37		Malate dehydrogenase
INEKDHDG_00034	CDS	1194	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
INEKDHDG_00035	CDS	492				hypothetical protein
INEKDHDG_00036	CDS	903	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
INEKDHDG_00037	CDS	3057	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
INEKDHDG_00038	CDS	309				hypothetical protein
INEKDHDG_00039	CDS	1278	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
INEKDHDG_00040	CDS	750				hypothetical protein
INEKDHDG_00041	CDS	531				hypothetical protein
INEKDHDG_00042	CDS	753	ygfF	1.-.-.-		putative oxidoreductase YgfF
INEKDHDG_00043	CDS	1407	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
INEKDHDG_00044	CDS	501				hypothetical protein
INEKDHDG_00045	CDS	1077				hypothetical protein
INEKDHDG_00046	CDS	936	xerC_1		COG4973	Tyrosine recombinase XerC
INEKDHDG_00047	CDS	951				hypothetical protein
INEKDHDG_00048	CDS	498				hypothetical protein
INEKDHDG_00049	CDS	933	araD	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
INEKDHDG_00050	CDS	873	ligI	3.1.1.57	COG3618	2-pyrone-4,6-dicarboxylate hydrolase
INEKDHDG_00051	CDS	1713	araC_1	4.2.1.25		L-arabonate dehydratase
INEKDHDG_00052	CDS	1023	apsD_1	1.1.1.-		D-apiose dehydrogenase
INEKDHDG_00053	CDS	672				hypothetical protein
INEKDHDG_00054	CDS	1629	xynB_1	3.2.1.37		Beta-xylosidase
INEKDHDG_00055	CDS	1902				hypothetical protein
INEKDHDG_00056	CDS	1005	dppB_1		COG0601	Dipeptide transport system permease protein DppB
INEKDHDG_00057	CDS	858			COG1173	Putative peptide transport permease protein
INEKDHDG_00058	CDS	1035	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
INEKDHDG_00059	CDS	921	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
INEKDHDG_00060	CDS	2217	priA	3.6.4.-	COG1198	Primosomal protein N'
INEKDHDG_00061	CDS	390				hypothetical protein
INEKDHDG_00062	CDS	567	atpH		COG0712	ATP synthase subunit delta
INEKDHDG_00063	CDS	1530	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
INEKDHDG_00064	CDS	885	atpG_1		COG0224	ATP synthase gamma chain
INEKDHDG_00065	CDS	1437	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
INEKDHDG_00066	CDS	240				hypothetical protein
INEKDHDG_00067	CDS	408	atpC		COG0355	ATP synthase epsilon chain
INEKDHDG_00068	CDS	738				hypothetical protein
INEKDHDG_00069	CDS	1221				hypothetical protein
INEKDHDG_00070	CDS	1011	thiY_1		COG0715	Formylaminopyrimidine-binding protein
INEKDHDG_00071	CDS	813	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
INEKDHDG_00072	CDS	807	ribX_1			Riboflavin transport system permease protein RibX
INEKDHDG_00073	CDS	633	ykoF			Putative HMP/thiamine-binding protein YkoF
INEKDHDG_00074	CDS	597	arsH_1	1.-.-.-	COG0431	NADPH-dependent FMN reductase ArsH
INEKDHDG_00075	CDS	465	soxR		COG0789	Redox-sensitive transcriptional activator SoxR
INEKDHDG_00076	CDS	825	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
INEKDHDG_00077	CDS	342	bigR_1		COG0640	Biofilm growth-associated repressor
INEKDHDG_00078	CDS	894	oxyR_1			Hydrogen peroxide-inducible genes activator
INEKDHDG_00079	CDS	480	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
INEKDHDG_00080	CDS	1557				hypothetical protein
INEKDHDG_00081	CDS	2880		1.17.1.9		Putative formate dehydrogenase
INEKDHDG_00082	CDS	825	fdhD		COG1526	Sulfur carrier protein FdhD
INEKDHDG_00083	CDS	246				hypothetical protein
INEKDHDG_00084	CDS	1659				hypothetical protein
INEKDHDG_00085	CDS	1761				hypothetical protein
INEKDHDG_00086	CDS	477	cheW_1		COG0835	Chemotaxis protein CheW
INEKDHDG_00087	CDS	1200	rocD2	2.6.1.13		Ornithine aminotransferase 2
INEKDHDG_00088	CDS	936	arcA	3.5.3.1		Arginase
INEKDHDG_00089	CDS	438				hypothetical protein
INEKDHDG_00090	CDS	6102				hypothetical protein
INEKDHDG_00091	CDS	1869	bamA_1			Outer membrane protein assembly factor BamA
INEKDHDG_00092	CDS	258				hypothetical protein
INEKDHDG_00093	CDS	276				hypothetical protein
INEKDHDG_00094	CDS	288				hypothetical protein
INEKDHDG_00095	CDS	252				hypothetical protein
INEKDHDG_00096	CDS	237				hypothetical protein
INEKDHDG_00097	CDS	1596				hypothetical protein
INEKDHDG_00098	CDS	1302				hypothetical protein
INEKDHDG_00099	CDS	2970				hypothetical protein
INEKDHDG_00100	CDS	741				hypothetical protein
INEKDHDG_00101	CDS	2436	recF_1			DNA replication and repair protein RecF
INEKDHDG_00102	CDS	570				hypothetical protein
INEKDHDG_00103	CDS	1719				hypothetical protein
INEKDHDG_00104	CDS	2616				hypothetical protein
INEKDHDG_00105	CDS	687				hypothetical protein
INEKDHDG_00106	CDS	2079				hypothetical protein
INEKDHDG_00107	CDS	1791				hypothetical protein
INEKDHDG_00108	CDS	2064				hypothetical protein
INEKDHDG_00109	CDS	1905				hypothetical protein
INEKDHDG_00110	CDS	1827				hypothetical protein
INEKDHDG_00111	CDS	945				hypothetical protein
INEKDHDG_00112	CDS	210				hypothetical protein
INEKDHDG_00113	CDS	912				hypothetical protein
INEKDHDG_00114	CDS	1560				hypothetical protein
INEKDHDG_00115	CDS	957				hypothetical protein
INEKDHDG_00116	CDS	2061				hypothetical protein
INEKDHDG_00117	CDS	2196				hypothetical protein
INEKDHDG_00118	CDS	1893				hypothetical protein
INEKDHDG_00119	CDS	297				hypothetical protein
INEKDHDG_00120	CDS	498				hypothetical protein
INEKDHDG_00121	CDS	1122				hypothetical protein
INEKDHDG_00122	CDS	858				hypothetical protein
INEKDHDG_00123	CDS	426	ywnA_1		COG1959	Putative HTH-type transcriptional regulator YwnA
INEKDHDG_00124	CDS	210				hypothetical protein
INEKDHDG_00125	CDS	1662	dntB	1.14.13.210		4-methyl-5-nitrocatechol 5-monooxygenase
INEKDHDG_00126	CDS	465				hypothetical protein
INEKDHDG_00127	CDS	132				hypothetical protein
INEKDHDG_00128	CDS	1416	desA	2.1.1.-		Syringate O-demethylase
INEKDHDG_00129	CDS	870				hypothetical protein
INEKDHDG_00130	CDS	1170				hypothetical protein
INEKDHDG_00131	CDS	864				hypothetical protein
INEKDHDG_00132	CDS	990				hypothetical protein
INEKDHDG_00133	CDS	750	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
