locus_tag	ftype	length_bp	gene	EC_number	COG	product
BGEBEIBC_00001	CDS	114				hypothetical protein
BGEBEIBC_00002	CDS	648	nrsF_1			Anti-sigma-F factor NrsF
BGEBEIBC_00003	CDS	549	sigF_1			ECF RNA polymerase sigma factor SigF
BGEBEIBC_00004	CDS	777				hypothetical protein
BGEBEIBC_00005	CDS	573				hypothetical protein
BGEBEIBC_00006	CDS	726	nicF	3.5.1.107	COG1335	Maleamate amidohydrolase
BGEBEIBC_00007	CDS	1377		3.5.2.-		D-hydantoinase
BGEBEIBC_00008	CDS	2706	citB	4.2.1.-	COG1048	Aconitate/2-methylaconitate hydratase
BGEBEIBC_00009	CDS	1293	limB	1.14.13.107		Limonene 1,2-monooxygenase
BGEBEIBC_00010	CDS	1401	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
BGEBEIBC_00011	CDS	192				hypothetical protein
BGEBEIBC_00012	CDS	645				hypothetical protein
BGEBEIBC_00013	CDS	1029	sfnG	1.14.14.35		FMNH(2)-dependent dimethylsulfone monooxygenase
BGEBEIBC_00014	CDS	894				hypothetical protein
BGEBEIBC_00015	CDS	165				hypothetical protein
BGEBEIBC_00016	CDS	594	azo1	1.7.1.17	COG0431	FMN-dependent NADPH-azoreductase
BGEBEIBC_00017	CDS	681	gntR_1			putative D-xylose utilization operon transcriptional repressor
BGEBEIBC_00018	CDS	957	bcpA_1	2.7.8.23		Carboxyvinyl-carboxyphosphonate phosphorylmutase
BGEBEIBC_00019	CDS	768	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BGEBEIBC_00020	CDS	1074	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BGEBEIBC_00021	CDS	888	potH_1		COG1176	Putrescine transport system permease protein PotH
BGEBEIBC_00022	CDS	783	ydcV_1			Inner membrane ABC transporter permease protein YdcV
BGEBEIBC_00023	CDS	918	hemC_1	2.5.1.61	COG0181	Porphobilinogen deaminase
BGEBEIBC_00024	CDS	396				hypothetical protein
BGEBEIBC_00025	CDS	819	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
BGEBEIBC_00026	CDS	375				hypothetical protein
BGEBEIBC_00027	CDS	147				hypothetical protein
BGEBEIBC_00028	CDS	1383	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
BGEBEIBC_00029	CDS	252				hypothetical protein
BGEBEIBC_00030	CDS	492	benM_1			HTH-type transcriptional regulator BenM
BGEBEIBC_00031	CDS	309				hypothetical protein
BGEBEIBC_00032	CDS	1287				hypothetical protein
BGEBEIBC_00033	CDS	1464	xylC	1.2.1.28		Benzaldehyde dehydrogenase [NAD(+)]
BGEBEIBC_00034	CDS	534	comR_1			HTH-type transcriptional repressor ComR
BGEBEIBC_00035	CDS	819	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
BGEBEIBC_00036	CDS	846		3.3.2.10		Soluble epoxide hydrolase
BGEBEIBC_00037	CDS	531	cetB	5.1.3.33		2-epi-5-epi-valiolone epimerase
BGEBEIBC_00038	CDS	732				hypothetical protein
BGEBEIBC_00039	CDS	1290				hypothetical protein
BGEBEIBC_00040	CDS	1245	xerC_1			Tyrosine recombinase XerC
BGEBEIBC_00041	CDS	309				hypothetical protein
BGEBEIBC_00042	CDS	669	xerC_2			Tyrosine recombinase XerC
BGEBEIBC_00043	CDS	1017	xerC_3		COG4974	Tyrosine recombinase XerC
BGEBEIBC_00044	CDS	417				IS66 family transposase ISAzs21
BGEBEIBC_00045	CDS	297				IS66 family transposase ISPpa5
BGEBEIBC_00046	CDS	861				hypothetical protein
BGEBEIBC_00047	CDS	240				hypothetical protein
BGEBEIBC_00048	CDS	441				hypothetical protein
BGEBEIBC_00049	CDS	588				hypothetical protein
BGEBEIBC_00050	CDS	636				hypothetical protein
BGEBEIBC_00051	CDS	858				hypothetical protein
